Topic,Count,Name,Representation,Representative_Docs
202,85,202_apotheek_apotheker_apotheerk_nuth,"['apotheek', 'apotheker', 'apotheerk', 'nuth', '2x', 'verenigde', 'steeds', 'glacisweg', 'raadhuisplein', 'mijn']","['Apotheek is : apotheek .', 'Mijn apotheek is: Apotheek de  .', 'Apotheek is : apotheek .']"
203,70,203_gewone_gekozen_gezegd_problemen,"['gewone', 'gekozen', 'gezegd', 'problemen', 'isolatie', 'communicatie', 'werking', 'scopisch', 'opperde', 'spuiten']","['Ik hoop alleen dat dit geen problemen kan geven voor de werking van het medicijn.', 'Ik hoop alleen dat dit geen problemen kan geven voor de werking van het medicijn.', 'Heb de vervangende huisarts aan de telefoon gehad en duidelijkheid gevraagd  Hem ook gezegd dat twee tandartsen en de mdl arts gekeken had en geen van allen zei aften ,  Hij bleef volhouden maar zei hij , als het toch lichen planus is , heb je wel al de juiste zalf']"
204,60,204_smorgens_teken_savonds_maatregelen,"['smorgens', 'teken', 'savonds', 'maatregelen', 'voorzichtig', 'eenmalig', 'risico', 'dood', 'goed', 'moedeloos']","['Gebruik smorgens en savonds.', 'Voornamelijk savonds en snachts.', 'Het gaat overigens hartstikke goed met mij, en crohn is voor mijn gevoel helemaal onder controle!']"
205,88,205_periodieke_mail_gezondheidscheck_vragenlijst,"['periodieke', 'mail', 'gezondheidscheck', 'vragenlijst', 'gestuurd', 'vullen', 'brief', 'app', 'vakanties', 'meldingen']","['Dat heb ik gedaan, maar inmiddels heb ik een nieuwe mail om de periodieke evaluatie in te vullen en staat deze ook bij openstaande taken.', 'Ik heb zojuist de periodieke vragenlijst ingevuld en verstuurd, maar ik blijf zien dat er een periodieke vragenlijst beschikbaar is om in te vullen.', 'Sinds een paar maanden ontvang ik overigens geen e-mail meer als jullie een reactie op mijn vraag in de IBD coach geplaats hebben, danwel het tijd is voor de periodieke gezondheidscheck.']"
206,40,206_vraag_korte_ongewone_gecombineerd,"['vraag', 'korte', 'ongewone', 'gecombineerd', 'horen', 'gekke', 'tweetal', 'misschien', 'een', 'brief']","['Goed om te horen.', 'Goed om te horen.', 'goed om te horen.']"
207,77,207_eten_amper_vloeibaar_klachtenvrij,"['eten', 'amper', 'vloeibaar', 'klachtenvrij', 'aanvallen', 'minder', 'geholpen', 'klachten', 'harden', 'slecht']","['Vandaag lijken klachten zo goed als over te zijn.', 'Na 3 dagen zijn de klachten zo goed als weg.', 'de klachten die ik had zijn zo goed als weg.']"
208,56,208_herhaalrecept_purinethol_sturen_apotheek,"['herhaalrecept', 'purinethol', 'sturen', 'apotheek', 'kunt', 'bestellen', 'nieuwe', 'kunnen', 'doorsturen', 'bundosinide']","['Zouden jullie een herhaalrecept naar mijn apotheek kunnen sturen?', 'Zouden jullie een herhaalrecept naar mijn apotheek kunnen sturen?', 'Zou u het herhaalrecept dan naar mijn apotheek hier in  () kunnen sturen?']"
209,82,209_vloeistof_aambeien_pols_onderste,"['vloeistof', 'aambeien', 'pols', 'onderste', 'raakte', 'endeldarm', 'scherpe', 'bloeden', 'geraakt', 'helft']","['Ook 3 jaar lang ontzettende pijn aanvallen gehad als mijn darm te stevige ontlasting bevatten en daardoor een zenuw raakte die bij het littekenweefsel raakte van de inwendige vaginale hechtingen.Omdat het om de endeldarm gaat wil ik hier over graag uw advies.', 'Tijdens het infuus prikken( duim kant van de pols)voelde ik een scherpe pijn doortrekken richting de handwortel en mijn pols.De verpleegkundige gaf aan waarschijnlijk een zenuw geraakt te hebben.', 'Tijdens het infuus prikken( duim kant van de pols)voelde ik een scherpe pijn doortrekken richting de handwortel en mijn pols.De verpleegkundige gaf aan waarschijnlijk een zenuw geraakt te hebben.']"
210,73,210_tablet_mg_wijziging_innemen,"['tablet', 'mg', 'wijziging', 'innemen', 'anrukinzumab', '2012', 'imuun', 'nierstenen', 'mss', 'budesonide']","['Tevens heb ik in 2012 meegedaan aan een onderzoek naar het geneesmiddel anrukinzumab.', 'hoelang kan ik wachten met humira weer te prikken zodat ik niet teveel last ga krijgen eventueel van de crohn?', 'Mede door de volgende 3 factoren:  - koorts - verschil in ruis tussen linker en rechterlongen - bekend met infliximab  hopelijk gaat het de komende dagen beter, maar het lijkt mij wel beter om het infuus van komende vrijdag uit te stellen, zal ik even contact opnemen met het infusiecentrum?']"
211,101,211_bekend_hoog_iets_al,"['bekend', 'hoog', 'iets', 'al', 'uitgekomen', 'overlegd', 'over', 'er', 'moedermelk', 'humiraspiegels']","['Is hier al iets over bekend?', 'Is nu al iets meer bekend?', 'Is er al iets van bekend?']"
212,57,212_terugkoppeling_bedankt_oke_ok,"['terugkoppeling', 'bedankt', 'oke', 'ok', 'dank', 'je', 'hartstikke', 'snelle', 'voor', 'dankjewel']","['bedankt voor de terugkoppeling!', 'Bedankt voor terugkoppeling!', 'Bedankt voor de terugkoppeling.']"
213,84,213_beste_doen_wat_kan,"['beste', 'doen', 'wat', 'kan', 'breken', 'het', 'hier', 'kinderen', 'buisje', 'nr']","['Wat kan ik nu het beste doen?', 'Wat kan ik nu het beste doen?', 'Wat kan ik hier het beste tegen doen?']"
214,35,214_dankjewel_reactie_je_snelle,"['dankjewel', 'reactie', 'je', 'snelle', 'bericht', 'voor', 'begripvol', 'opvolgen', 'uw', 'reacties']","['Dankjewel voor je reactie.', 'Dankjewel voor je reactie.', 'Dankjewel voor je reactie.']"
215,73,215_zwangerschapstest_interval_positieve_gedaan,"['zwangerschapstest', 'interval', 'positieve', 'gedaan', 'pilletje', 'waaruit', 'positief', 'hpv', 'actueel', 'bleek']","['Ik heb gisteren een positieve zwangerschapstest gehad.', 'ik heb gisteren een positieve zwangerschapstest gehad.', 'ik heb vandaag een zwangerschapstest gedaan waaruit een positief resultaat is gekomen.']"
216,159,216_zorgen_maak_me_ongerust,"['zorgen', 'maak', 'me', 'ongerust', 'maken', 'beetje', 'begin', 'over', 'echt', 'kun']","['Moet ik mij hier zorgen om maken?', 'Ik maak me steeds meer zorgen.', 'Ik maak me erg veel zorgen.']"
217,61,217_dank_reactie_snelle_uw,"['dank', 'reactie', 'snelle', 'uw', 'heer', 'voor', 'je', 'reaktie', 'rectie', 'bericht']","['dank voor uw snelle reactie.', 'Dank voor uw snelle reactie.', 'dank voor uw snelle reactie.']"
218,110,218_hoogte_hou_houd_bedoeld,"['hoogte', 'hou', 'houd', 'bedoeld', 'brengen', 'vol', 'stellen', 'houden', 'op', 'vandaar']","['Ik hou jullie op de hoogte,', 'Ik hou u op de hoogte.', 'Dat zal ik doen, ik hou jullie op de hoogte']"
219,66,219_reactie_bedankt_voor_je,"['reactie', 'bedankt', 'voor', 'je', 'uw', 'geruststellend', 'dringen', 'klem', 'verzoeken', 'verwijsbrief']","['Bedankt voor de reactie.', 'Bedankt voor de reactie.', 'Bedankt voor de reactie.']"
220,69,220_aanmerking_kom_specialist_ontlastingstest,"['aanmerking', 'kom', 'specialist', 'ontlastingstest', 'ascal', 'bespreekt', 'fraxiparine', 'tegenop', 'overbodige', 'colonoscopy']","['Daarnaast wil ik graag weten of ik in aanmerking kom als grensarbeider voor een vaccin.', 'Nu had hij de vraag of ik in aanmerking kom voor een dieetbevestiging 2018.', 'De belangrijkste vraag die ik heb voor  is of ik in aanmerking kom voor een extra infuus.']"
221,85,221_formulieren_opsturen_sturen_uiterlijk,"['formulieren', 'opsturen', 'sturen', 'uiterlijk', 'benodigde', 'kunt', 'nieuwe', 'uitgaan', 'toezenden', 'buisje']","['Kunt u me de formulieren voor labonderzoek sturen?', 'Zo ja, zou u mij die formulieren dan kunnen sturen?', 'Zouden jullie mij nieuwe formulieren kunnen sturen?']"
222,69,222_bekende_nie_verloren_suiker,"['bekende', 'nie', 'verloren', 'suiker', 'bevalling', 'mun', 'normaal', 'klacht', 'remicade', 'zsm']","['Ik heb ff vraagje sinds paar dage voel k me nie zo lkkr k heb raar gevoel in mun hoofd by mun ogen en af en toe aan mun oren en als k poets ben k kortademig wat k normaal nie ben heb wel astma ma dat is onder controle en by poetse heb k dat normaal totaal nie ook ben k heel erg moe heb gister van 16 tot 19u geslapen en normaal na bed gegaan om 23u voorheen werd k altijd om half 4 wakker om te plassen ook dit gebeurt nie meer is dat normaal kan dat allemaal aan de humira ligge?', 'is er al iets bekend heb gisteren zeer veel pijn gehad toen ik eenmaal naar wc was gegaan zakte pijn beetje weg vertrouw het niet helemaal kon zelfs bijna niet lopen pijn trok door tot mijn rechter lies vandaag gaat het wel maar ben toch wel beetje ongerust', 'Ik voel me echt niet goed ik heb weinig eetlust kan bijna niks eten of ik moet na toilet die diarree is al tijdje aan de gang van begin half juni en is niet veranderd nu ook nog hevige krampen erbij de loperiadime werkt ook niet echt er is toen bloed geprikt ontlasting ingeleverd was wat verhoogd maar niet zorgelijk ik ben al aantal weken aan uitstellen maar ik moet nu toch even aan de bel trekken want dit gaat zo niet langer.']"
223,63,223_goedendag_febr_bel_afgezegd,"['goedendag', 'febr', 'bel', 'afgezegd', 'langs', 'volgen', 'geheel', 'wanneer', 'najaar', 'opgeknapt']","['Ik bel morgen ook de huisarts om je advies op te volgen.', 'Ik hoor wel wanneer de afspraak is in het najaar.', 'Goedendag,  Helaas heb ik nog geen contact met  gehad, kunnen jullie een nieuwe afspraak inplannen.']"
224,70,224_biologicals_gebeurt_oude_diagnose,"['biologicals', 'gebeurt', 'oude', 'diagnose', 'snel', 'polibezoek', 'bureau', 'moeders', 'maatregelen', 'waarschuwen']","['Mijn huisarts kan dit helaas niet,  gezien zij al meerder jaren helemaal geen medische gegevens meer heeft ontvangen van mdl, en wil ik wederom  weer verzoeken voor een afspraak bij een andere arts.', 'Wegens problemen met mijn vader is deze veranderd in mijn moeders achternaam , zou het fijn vinden als mijn nieuwe inloggegevens hiernaar verwijzen.', 'Het lijkt me beter dit via MDL te regelen dan via de huisarts omdat ik hopelijk zo snel mogelijk geopereerd kan worden en dan moet wel duidelijk zijn wat er mis is.']"
225,94,225_mogelijkheid_toevallig_wachten_croon,"['mogelijkheid', 'toevallig', 'wachten', 'croon', 'menssen', 'vaccine', 'lichaamsmateriaal', 'afgifte', 'overig', 'levering']","['Is er toevallig een mogelijkheid om voor menssen met croon  via een andere weg eerder  de vaccine krijgen want moet wachten op de huisarts .', 'Is er toevallig een mogelijkheid om voor menssen met croon  via een andere weg eerder  de vaccine krijgen want moet wachten op de huisarts .', 'Is er toevallig een mogelijkheid om voor menssen met croon  via een andere weg eerder  de vaccine krijgen want moet wachten op de huisarts .']"
226,55,226_aandoening_doktersverklaring_knoop_werken,"['aandoening', 'doktersverklaring', 'knoop', 'werken', 'betalen', 'printer', 'rijen', 'eigenrisico', 'speciaal', 'doorhakken']","['Ik wil het proberen tot die tijd te rekken, maar wil dan echter ook de definitieve knoop doorhakken of ik wel of niet met de Stelara door blijf gaan.', 'Is het mogelijk een doktersverklaring in het engels op te stellen dat ik door mijn aandoening niet lang in rijen kan staan als gevolg van acute drang om naar de wc te gaan?', 'Is het mogelijk om een nieuwe doktersverklaring in het  te ontvangen waarin staat dat ik wegens mijn aandoening niet lang in rijen kan staan, acuut naar een toilet moet kunnen en dat de aandoening chronisch/permanent aanwezig is?']"
227,113,227_klachten_echte_geen_verder,"['klachten', 'echte', 'geen', 'verder', 'crohnklachten', 'nee', 'toeval', 'trouwens', 'eigenlijk', 'lzr']","['Nee verder heb ik geen andere klachten.', 'Heb geen klachten.', 'Nee verder heb ik geen klachten.']"
228,80,228_hoop_snel_horen_hopende,"['hoop', 'snel', 'horen', 'hopende', 'vernemen', 'gahad', 'spoedige', 'spoedig', 'liever', 'mogelijk']","['Ik hoop van u te horen.', 'Ik hoop van u te horen.', 'Ik hoop van u te horen.']"
229,81,229_pantoprazol_stelara_astrazenica_calc,"['pantoprazol', 'stelara', 'astrazenica', 'calc', 'ste', 'mnd', 'bisacodyl', 'medicatie', 'foliumzuurtabletten', 'metoprololsuccinaat']","['Ik ben op 24-8 op controle geweest Heb toen gevraagd of  recept voor calc/vit D3 0,5 mg/800IE van het merk Talcal wilde voorschrijven omdat ik daar geen prikkende tong van krijg.Het recept zou gefaxt worden.', 'IBD Artsen  Ik zou graag weer een recept willen vragen van mijn medicatie Thiosix 20 mg Pantoprazol 40mg  Ik begin zaterdag aan mijn 3e Humira injectie.dan kunt u nu de medicatie geven tot de laatste Humira  En vanaf dan dat ik alle bestellingen bij elkaar krijg via het [ZIEKENHUIS] Apotheek.', 'Tav de andere medicijnen pantoprazol pensa 40 en tacal D3 graag meteen een herhaalrecept want onze apotheek moet dit bestellen en ik ben bang dat ze het na de 28 ste niet op tijd in huis hebben.']"
230,75,230_spreekuur_leverarts_huisartsenpost_geweest,"['spreekuur', 'leverarts', 'huisartsenpost', 'geweest', 'vanochtend', 'uitgebreid', 'besloten', 'bij', 'colonosc', 'gebruikelijke']","['en   Ik ben vorige week op spreekuur  geweest.', 'en ,  Ik ben gisteren op het spreekuur bij  geweest.', 'Vandaag () ben ik bij u op spreekuur geweest.']"
231,63,231_geleidelijk_verdwenen_ellendig_zeggen,"['geleidelijk', 'verdwenen', 'ellendig', 'zeggen', 'gezakt', 'klachten', 'start', 'scholen', 'antibioticakuur', 'actiever']","['Ik moet helaas zeggen dat de klachten weer toegenomen lijken zijn.', 'De klachten zijn geleidelijk ontstaan de afgelopen dagen.', 'Ik moet zeggen dat de klachten de afgelopen dagen geleidelijk maar zonder twijfel zijn verminderd.']"
232,82,232_dermatoloog_doorverwezen_zeggen_uroloog,"['dermatoloog', 'doorverwezen', 'zeggen', 'uroloog', 'bezoek', 'gebeld', 'stomaverpleegkundige', 'ze', 'naar', 'uitspreken']","['Ik heb al 2 maal naar Apotheek gebeld maar hebben nu nog steeds geen recept van mij ontvangen.', 'Ik heb  net naar de apotheek  gebeld en ze zeggen dat geen recept binnen hebben gehad', 'Mijn moeder heeft vandaag de apotheek gebeld en zij zeggen dat ze geen recept ontvangen hebben.']"
233,46,233_fijne_avond_dag_bespaart,"['fijne', 'avond', 'dag', 'bespaart', 'schuimclisma', 'spargelfest', 'bijgekregen', 'hotelletje', 'dineren', 'korreltjes']","['en een fijne dag,', 'en een fijne dag,', 'en een fijne dag,']"
234,31,234_hoor_wel_het_dan,"['hoor', 'wel', 'het', 'dan', 'ik', 'hoe', 'verder', 'zo', 'wat', 'graag']","['Ik hoor het wel .', 'Ik hoor het wel.', 'Ik hoor het wel.']"
235,107,235_ontvangen_bericht_bevestiging_brief,"['ontvangen', 'bericht', 'bevestiging', 'brief', 'mogen', 'geen', 'niets', 'niks', 'nog', 'helaas']","['Ik heb nog geen bericht ontvangen.', 'Ik heb alleen geen bericht ontvangen die dag.', 'Ik heb nog geen bericht ontvangen.']"
236,59,236_bekeken_energielevel_alternatieve_zorgverzekeraar,"['bekeken', 'energielevel', 'alternatieve', 'zorgverzekeraar', 'inziens', 'bedrijfsarts', 'ervaring', 'misverstand', 'daarvan', 'plekke']","['Ik weet niet wat een alternatieve ""passende oplossing"" zou kunnen zijn, aangezien de spuit toch in [ZIEKENHUIS] gezet moet worden... ik kon het biological bureau ook niet meer daarvoor bereiken, dus ik zal t dinsdag ter plekke wel beschouwen.', 'Eigen literair onderzoek, alhoewel kort en snel uitgevoerd, laat echter zien dat meerdere internationale onderzoeken laten blijken dat de kans op overlijden bij colitis niet groter is dan bij de normale populatie.', 'Omdat er waarschijnlijk bij de scopie weefsels worden afgenomen ter onderzoek is mijn vraag of de resultaten daarvan al bekend zullen zijn bij die poli-afspraak van 21 januari.']"
237,84,237_vragen_vraagjes_verpleegkundige_vraagje,"['vragen', 'vraagjes', 'verpleegkundige', 'vraagje', 'twee', 'groot', 'belangrijke', 'vraag', 'pennen', 'wil']","['Ik heb 3 vraagjes.', 'Ik heb 2 vraagjes.', 'Ik heb 2 vraagjes.']"
238,63,238_gaten_houden_hou_houd,"['gaten', 'houden', 'hou', 'houd', 'zal', 'telefoon', 'in', 'nauwlettend', 'gehouden', 'even']","['Ik zal het in de gaten houden.', 'Ik zal het in de gaten houden.', 'Ja ik zal hem in de gaten houden']"
239,62,239_reizen_zorg_eindelijk_landen,"['reizen', 'zorg', 'eindelijk', 'landen', 'gevaccineerd', 'verre', 'fijner', 'best', 'baan', 'woon']","['Daarnaast weet ik sinds 5 dagen dat ik zwanger ben (dit weet nog niemand).', 'Daarnaast weet ik sinds 5 dagen dat ik zwanger ben (dit weet nog niemand).', 'Daarnaast weet ik sinds 5 dagen dat ik zwanger ben (dit weet nog niemand).']"
240,69,240_toestemmingsformulier_aanvulling_bijgevoegd_hoogte,"['toestemmingsformulier', 'aanvulling', 'bijgevoegd', 'hoogte', 'ondertekende', 'erbij', 'vervolgstappen', 'logboek', 'eerdere', 'informatiefolder']","['Bij deze het ondertekende toestemmingsformulier.', 'erbij het ondertekende toestemmingsformulier', 'erbij het ondertekende toestemmingsformulier']"
241,82,241_bericht_dank_aannemen_voor,"['bericht', 'dank', 'aannemen', 'voor', 'stuur', 'lezen', 'verzonden', 'hhet', 'ongeneeslijk', 'nig']","['Dank voor het bericht.', 'Dank voor het bericht.', 'Dank voor het bericht.']"
242,54,242_navraag_buitenland_verkeerde_zagen,"['navraag', 'buitenland', 'verkeerde', 'zagen', 'bezinken', 'darmonderzoek', 'hallen', 'opgestuuren', 'gecontacteerd', '2018']","['Tijdens mijn laatste afspraak heeft de arts aangegeven dat zij na mijn bevalling een aantal afspraken zou gaan inplannen waaronder een MRI, darmonderzoek en een afspraak met de leverarts.', 'En dinsdag ben ik in het ziekenhuis dan kan ik het op hallen dan hoef je het niet opgestuuren', 'En dinsdag ben ik in het ziekenhuis dan kan ik het op hallen dan hoef je het niet opgestuuren']"
243,54,243_gemeld_stelt_werk_universiteit,"['gemeld', 'stelt', 'werk', 'universiteit', 'bereid', 'ziek', 'ziekteverklaring', 'zeg', 'energie', 'ps']","['ik heb nog genoeg voorrraad staan van budenofalk  2 mg / goed tot oktober 2018  Omdat het toendertijd ook niet bleef zitten...Uiteraard bereid nog eens te proberen wil erg graag van de klachten af', 'wat ik wou vragen ik heb een nieuwe sessie gekregen maar deze had ik al 3 jaar geleden ingevuld normaal als er een nieuwe sessie komt dan zijn de vragen over mijn gezondheid eet niet waarom ik deze weer opnieuw moet in vullen graag hier op een reactie', 'echter worden de richtlijnen gehanteerd van het RIVM , waarbij bv partners van medewerkers inmiddels besmet zijn echter hebben ze zelf geen klachten en komen dus werken ...wat is raadzaam in deze toch thuis gaan werken ..en wat te doen met medicatie wel blijven hanteren of....']"
244,78,244_vaccin_combinatie_lactose_pfizer,"['vaccin', 'combinatie', 'lactose', 'pfizer', 'covid', 'anti', 'dossier', 'antistoffen', 'intolerantie', 'ivm']","['Ik heb gehoord dat bepaalde medicijnen waaronder Humira er voor zorgen dat je na vaccinatie tegen corona toch nog vatbaar bent voor corona en dat je geen of weinig anti-stoffen aanmaakt.', 'Ik heb van meerdere mensen gehoord, en op diverse Crohn/ CU communities gelezen dat de Humira de werking van het Covid vaccin afbreekt en niet ten goede komt, waardoor wij dus géén of niet voldoende antistoffen aanmaken.', 'Het niet doorlopen van het volledige klinisch-goedkeuringsprogramma     mRNA-technologie bij de ontwikkeling van dit COVID-19 vaccin (betreft experimentele Gen-therapie)     Pfizer officiële onderzoeksresultaten geopenbaard (onder rechterlijke dwang, niet akkoord aandachtspunt 3) aantal ernstige/zeer ernstige bijwerkingen als gevolg van COVID-19 vaccinatie (d.d.']"
245,38,245_siao_alvast_vele_mvrgr,"['siao', 'alvast', 'vele', 'mvrgr', 'antwoorden', 'dank', 'bedankt', 'emailadres', 'medewerking', 'immense']","['Alvast dank, siao', 'alvast dank, siao', 'alvast dank siao']"
246,115,246_gegaan_mis_fout_iets,"['gegaan', 'mis', 'fout', 'iets', 'misgegaan', 'bang', 'er', 'goed', 'ben', 'is']","['Maar dan is dat blijkbaar mis gegaan.', 'Is er ergens iets mis gegaan?', 'Is er iets mis gegaan?']"
247,34,247_bent_bedankt_hartelijk_vast,"['bent', 'bedankt', 'hartelijk', 'vast', 'alvast', 'vriendelijk', 'alweer', 'alwéér', 'dedankt', 'handig']","['Hartelijk bedankt.', 'Hartelijk bedankt.', 'Hartelijk bedankt.']"
248,58,248_zakjes_schreef_veiligheid_probiotica,"['zakjes', 'schreef', 'veiligheid', 'probiotica', 'meta', 'mucil', 'coronavaccins', 'macrogol', 'günter', 'pleuser']","['De werking en veiligheid van een biosimilar komt overeen met het referentiemedicijn.', 'thuis heb ik macrogol zakjes liggen en nog vezels zakjes meta mucil van op vakantie.', 'Er is nog onvoldoende informatie over de werking en veiligheid van coronavaccins voor mensen met een auto-immuunziekte.']"
249,104,249_fijn_vinden_fantastisch_systeem,"['fijn', 'vinden', 'fantastisch', 'systeem', 'zou', 'heel', 'als', 'zijn', 'super', 'vooruitgang']","['Dat zou fijn zijn.', 'Ja dat zou fijn zijn.', 'Oke dat is fijn!']"
250,130,250_vorige_injecties_normaal_keer,"['vorige', 'injecties', 'normaal', 'keer', 'sonde', 'hyrimoz', 'stuk', '2maanden', 'spuiten', 'proces']","['Ben nu 2maanden bezig met de hyrimoz spuiten.', 'Ben nu 2maanden bezig met de hyrimoz spuiten.', 'Ben nu 2maanden bezig met de hyrimoz spuiten.']"
251,78,251_erna_verklaring_overzicht_waarin,"['erna', 'verklaring', 'overzicht', 'waarin', 'geldt', 'volgende', 'effectief', 'vaccinaties', 'probiotica', 'keer']","['Mijn vraag maakt het eigenlijk iets uit of je vlug op elkaar het infuus krijgt en de griepprik?', 'Is het mogelijk om daarvoor een medische verklaring in het  te krijgen waarin staat dat ik actieve ziekte van Crohn heb + een medicatie overzicht?', 'Toch gaat het nu wel redelijk, maar misschien is het handig om voor de volgende keer (of de keer erna) weer bloed en ontlasting in te leveren voor de spuit, en 2 weken erna een afspraak met pierick in te plannen.']"
252,45,252_wensen_verwijzing_allereerst_beste,"['wensen', 'verwijzing', 'allereerst', 'beste', '2021', '2018', '2020', 'allerbeste', 'belastbaarheid', 'waarheid']","['en ,  Allereerst de beste wensen voor 2018!', 'en ,  Allereerst de beste wensen voor 2021.', 'Allereerst nog de beste wensen !']"
253,54,253_derrein_apotheek_gegevens_faxnummer,"['derrein', 'apotheek', 'gegevens', 'faxnummer', 'doorgestuurd', 'fax', 'zorginstelling', 'sturen', 'tel', 'derrijn']","['Het recept van de picoprep zou zijn doorgestuurd naar [APOTHEEK]derrein .', 'Zou er een nieuw recept doorgestuurd kunnen worden naar [APOTHEEK]derrein ?', 'Zou u deze kunnen sturen naar [APOTHEEK]derrein?']"
254,82,254_meerdere_geprobeerd_malen_telefoons,"['meerdere', 'geprobeerd', 'malen', 'telefoons', 'keren', 'gebelt', 'cremes', 'reguliere', 'resultaat', 'dankzij']","['Dit is al meerdere malen geprobeerd.', 'Ik heb het op meerdere telefoons geprobeerd.', 'Ik heb het op meerdere telefoons geprobeerd.']"
255,48,255_slechter_darmen_gaat_lichamelijk,"['slechter', 'darmen', 'gaat', 'lichamelijk', 'goed', 'vermoeid', 'voel', 'moe', 'steeds', 'eindelijk']","['Nu gaat het momenteel niet goed met mijn darmen en slik ik cortiment.', 'De afgelopen dagen gaat het weer goed met mijn darmen.', 'Maar op dit moment gaat het niet goed met mijn darmen.']"
256,28,256_zorginstelling_bezorgen_bv_service,"['zorginstelling', 'bezorgen', 'bv', 'service', 'hulp', 'sessie', 'nogmaals', 'aub', 'goede', 'erbij']","['[ZORGINSTELLING].', '[ZORGINSTELLING]', '[ZORGINSTELLING], .']"
257,118,257_advies_mening_hierin_hierover,"['advies', 'mening', 'hierin', 'hierover', 'jullie', 'punten', 'wat', 'geven', 'uw', 'standpunt']","['Wat is jullie advies?', 'Wat is het advies?', 'Wat is jullie advies?']"
258,61,258_adviseren_denken_raden_adviseert,"['adviseren', 'denken', 'raden', 'adviseert', 'wat', 'jullie', 'adviseerd', 'raad', 'houdend', 'aanraden']","['Wat adviseren jullie?', 'Wat adviseren jullie me verder nog te doen?', 'Wat adviseren jullie mij.']"
259,63,259_dermatologie_vanmorgen_poli_opleidingsdagen,"['dermatologie', 'vanmorgen', 'poli', 'opleidingsdagen', 'november', 'mei', 'geweest', 'spreek', 'botscan', 'vrije']","['Ben vanmorgen op de poli dermatologie geweest.', 'Ben vanmorgen op de poli dermatologie geweest.', 'Ben vanmorgen op de poli dermatologie geweest.']"
260,73,260_infectie_ontstoken_oog_wijzen,"['infectie', 'ontstoken', 'oog', 'wijzen', 'oorontsteking', 'uveitis', 'erythema', 'heup', 'gezeten', 'ontsteking']","['vraag is ik heb al weer een tijdje bloed bij de ontlasting en af en toe komt het bloed met een straaltje eruit ik smeer een paar keer per dag zinksulfaat vaseline crème 0,5% FNA .', 'Verder heb ik nu ontstoken amandelen en vervelende koorts, heb via de huisarts anti biotica gekregen, welke ik gisteren gestart ben.', 'Qua voeding eet ik veelal beschuit, droog brood of bijvoorbeeld wat aardappelen en heb ik via de diëtiste drinkvoeding/pudding gekregen om dit aan te vullen.']"
261,77,261_roesje_compact_ivm_4g,"['roesje', 'compact', 'ivm', '4g', 'pdf', 'stimuleren', 'voorbereiding', 'huiverig', 'inflectra', 'zodoende']","['Ik had nog een andere vraag - Nu ik weer begin met de mesalazine, moet ik dan ook weer de Pentasa Compact Granulaat 4g nemen als onderhoud?', 'Ik heb op 25 april een jaarlijkse controle bij , kan dit gesprek ook telefonisch plaats vinden ivm het coronavirus?', 'Zou het zo moeten zijn dat ik toch die twee tabletten Bisacodyl moet innemen dan kunt u dit recept naar de Service Apotheek faxen [ID]  Verder lees ik niet in de info dat ik voor beide onderzoeken een roesje krijg.']"
262,113,262_proberen_zsm_zal_aanwezig,"['proberen', 'zsm', 'zal', 'aanwezig', 'vervolg', 'navragen', 'volgt', 'liefste', 'eens', 'las']","['Ik ga proberen om dat deze week nog te doen.', 'Zal het vandaag proberen te doen.', 'Maar goed dat moet ik maar gewoon gaan proberen.']"
263,51,263_klinische_chemie_hematologie_buisjes,"['klinische', 'chemie', 'hematologie', 'buisjes', 'immunologie', 'bloedprikbriefjes', 'bloedonderzoek', 'buisje', 'potje', 'aangekruist']","[""Ik heb nog een potje, en 1 briefje voor 'Hematologie' en 1 voor 'Klinische chemie bloedonderzoek'."", 'er zitten ook 3 formulieren bij voor klinische chemie bloedonderzoek en hematologie en een potje voor ontlasting.', 'Echter heb ik nu maar 1 potje voor ontlasting en 3 formulieren: 1 hematologie, 1 klinische chemie bloedonderzoek en 1 klinische chemie onderzoek diversen.']"
264,71,264_ingevuld_doorgegeven_morgenvroeg_check,"['ingevuld', 'doorgegeven', 'morgenvroeg', 'check', 'periodieke', 'typ', 'terugbellen', 'vragenlijst', 'bandje', 'zojuist']","['Wat fijn dat u mij heeft gebeld, helaas heb ik de oproep niet gehoord.', 'Hartelijk dank voor de informatie, er ging iets mis met het opnemen en aangezien er van een privenummer gebeld werd kon ik helaas niet terugbellen.', 'Ik heb net de 3 maandelijks vragenlijst ingevuld, en heb daar wat vragen op ingevuld.']"
265,43,265_berichten_daarover_opdracht_sms,"['berichten', 'daarover', 'opdracht', 'sms', 'ivf', 'gebeld', 'geïnformeerd', 'gesproken', 'contact', 'tandarts']","['ik had vandaag een telefonische afspraak met , voor de uitslag van mijn scans 1 mei, maar zoals ik al gewend ben, ben ik weer eens niet gebeld, zoals elke keer als ik een telefonische afspraak met haar heb.', 'MDL verpleegkundigen Ik heb nog  contact gehad met de consulent van Medimo wat over de quanton cal  app gaat.', 'Afgelopen week zou overleg zijn met  over mijn medicatie, zie vorige berichten.']"
