Topic,Count,Name,Representation,Representative_Docs
161,99,161_mailen_berichtje_mailtje_formulieren,"['mailen', 'berichtje', 'mailtje', 'formulieren', 'sturen', 'uitslag', 'stuur', 'zal', 'ontvangen', 'even']","['Ik mocht mailen over de uitslag van mijn ontlasting.', 'Ik zou u mailen voor de uitslag van mijn ontlasting.', 'Ik zou deze week nog mailen voor de uitslag van mijn ontlasting.']"
162,64,162_gerelateerd_zoek_toevoegen_adviseerde,"['gerelateerd', 'zoek', 'toevoegen', 'adviseerde', 'hierop', 'afronden', 'contra', 'chron', 'coschappen', 'zoeken']","['Wij zijn op zoek naar iemand of een afdeling binnen het ziekenhuis die dit wel kan, een psychiater bijvoorbeeld die in overleg met de arts kan kijken wat mogelijk is zodat er geen complicaties optreden met de huidige behandeling.', 'Gezien de huidige situatie had ik graag advies van u gehad of ik dit nu moet doen of wachten tot een nader tijdstip ?', 'Alvorens hiermee - zoals  adviseerde - naar de huisarts te gaan, zou ik graag informeren of de bloeduitslagen nog altijd goed zijn en zo niet, of de klachten hier eventueel aan gerelateerd kunnen worden.']"
163,114,163_idee_dingen_gerust_totaal,"['idee', 'dingen', 'gerust', 'totaal', 'hart', 'serieus', 'geschud', 'trant', 'tellen', 'uitziet']","['Gelukkig was er niks aan mijn hart maar ben vandaag begonnen.', 'Gelukkig was er niks aan mijn hart maar ben vandaag begonnen.', 'Gelukkig was er niks aan mijn hart maar ben vandaag begonnen.']"
164,86,164_bereikbaar_telefonisch_ben_ja,"['bereikbaar', 'telefonisch', 'ben', 'ja', '00', 'vanmiddag', 'morgen', 'mobiele', 'vanaf', 'beschikbaar']","['Ben vanaf nu telefonisch bereikbaar.', 'Ik ben nu telefonisch bereikbaar.', 'ik ben telefonisch bereikbaar.']"
165,75,165_orde_aangekomen_bekend_deze,"['orde', 'aangekomen', 'bekend', 'deze', 'verandering', 'binnen', 'al', 'tijdstip', 'optijd', 'inmiddels']","['Is deze datum al bekend?', 'nog niet bekend?', 'Is dit inmiddels al bekend?']"
166,47,166_info_bedankt_snelle_reactie,"['info', 'bedankt', 'snelle', 'reactie', 'informatie', 'dank', 'voor', 'bedank', 'wensen', 'service']","['bedankt voor de snelle reactie.', 'bedankt voor de snelle reactie.', 'bedankt voor de snelle reactie.']"
167,91,167_bekend_uitslag_daarvan_hiervan,"['bekend', 'uitslag', 'daarvan', 'hiervan', 'al', 'beschikbaar', 'binnen', 'kweken', 'inmiddels', 'uitslagen']","['Is daar al een uitslag van bekend?', 'Is deze uitslag reeds bekend ?', 'Is er al een uitslag van bekend?']"
168,72,168_aangeraden_geldig_borstvoeding_koelkast,"['aangeraden', 'geldig', 'borstvoeding', 'koelkast', 'operatie', 'documenten', 'vitaminen', 'vindt', 'wou', 'voorstander']","['Donderdag 10 maart heb ik een onderzoek  bij de functie afdeling Endoscopie voor een colonosc+chromo  Ik heb hier een brief over ontvangen en daar zitten ook medicijnen bij ingesloten die ik voor het onderzoek moet innemen.', 'Vandaag zou ik de griepprik kunnen halen, maar nu weet ik niet zeker of dat wel kan/ verstandig is, omdat ik afgelopen vrijdag mijn Stelara spuit heb gekregen... Ik weet nog dat bij Humira werd aangeraden om de griepprik niet direct op of rond de prikdatum te laten zetten, i.v.m.', 'of , wou jullie laten weten dat ik afgelopen dinsdaf de 4 maandelijkse bloed controle gedaan heb/ wou even navragen of de vitaminen pillen verlaagd moeten worden?']"
169,108,169_paracetamol_helpt_onderdrukken_slik,"['paracetamol', 'helpt', 'onderdrukken', 'slik', 'paracetamols', 'neem', 'pijn', 'gepakt', 'gebruik', 'tramadol']","['Ik slik paracetamol maar daar merk ik niet veel van.', 'Ik slik paracetamol maar daar merk ik niet veel van.', 'Bij echt niet meer te doen grijp ik naar de paracetamol.']"
170,227,170_weten_laat_wilde_laten,"['weten', 'laat', 'wilde', 'laten', 'melden', 'even', 'hoe', 'jullie', 'wil', 'gaat']","['Ik zou nog even laten weten hoe t nu gaat!', 'Ik zou  laten weten hoe het gaat.', 'Laat maandag even weten hoe het dan gaat.']"
