model_name,combination,min_cluster_size,n_components,n_neighbors,diversity_score,c_v_score,weighted_avg_sim,unweighted_avg_sim,document_coverage,number_of_topics,composite_score
stv1,"(30, 15, 10)",30,15,10,0.8596576,0.42994413,0.3761148862486521,0.24814932,1.0,157,0.6753365
stv2,"(20, 15, 10)",20,15,10,0.81953853,0.38983232,0.47437427123074544,0.44210294,0.913273,261,0.69145757
mini,"(40, 15, 10)",40,15,10,0.95729595,0.93014866,0.5426400815407084,0.0,1.0,128,0.6802037
mpnet,"(20, 10, 20)",20,10,20,0.6189861,0.29495636,0.6289673917336238,0.57907933,0.88472563,252,0.654333
robbert,"(30, 10, 10)",30,10,10,0.9298757,0.51690394,0.4955975747030925,0.15351975,1.0,216,0.67670906
e5,"(40, 10, 10)",40,10,10,0.667322,0.7682143,0.8631305270845151,0.19137141,0.9760758,113,0.6272522
