Topic,Count,Name,Representation
34,500,34_afspraak_staan_gepland_verzetten,"['afspraak', 'staan', 'gepland', 'verzetten', 'staat', 'datum', 'aanstaande', 'gemaakt', 'telefonische', 'opstaan']"
35,217,35_antibiotica_kuur_antibioticakuur_bacterie,"['antibiotica', 'kuur', 'antibioticakuur', 'bacterie', 'probiotica', 'antibioticum', 'infectie', 'voorgeschreven', 'gekregen', 'blaasontsteking']"
36,200,36_mri_scan_mriscan_uitslag,"['mri', 'scan', 'mriscan', 'uitslag', 'gemaakt', 'scans', 'dunne', 'bespreken', 'gepland', 'ingepland']"
37,531,37_huis_buisje_potje_thuis,"['huis', 'buisje', 'potje', 'thuis', 'voorraad', 'liggen', 'zakjes', 'gebruikt', 'klysmas', 'inleveren']"
38,306,38_vraag_vragen_vraagje_vraagjes,"['vraag', 'vragen', 'vraagje', 'vraagjes', 'antwoord', 'navragen', 'benieuwd', 'nieuwsgierig', 'aantal', 'hallo']"
39,446,39_afspraak_plannen_inplannen_nieuwe,"['afspraak', 'plannen', 'inplannen', 'nieuwe', 'gepland', 'gemaakt', 'afspraken', 'termijn', 'ingepland', 'verzetten']"
40,213,40_gebeld_bellen_vragen_belt,"['gebeld', 'bellen', 'vragen', 'belt', 'gesprek', 'uwv', 'naam', 'bespreken', 'persoonlijk', 'gaf']"
41,272,41_operatie_chirurg_chirurgie_coloscopie,"['operatie', 'chirurg', 'chirurgie', 'coloscopie', 'geopereerd', 'anesthesist', 'anesthesie', 'tofacitinib', 'plaatsvinden', 'opereren']"
42,254,42_koorts_verkouden_verkoudheid_temperatuur,"['koorts', 'verkouden', 'verkoudheid', 'temperatuur', 'keelpijn', 'koude', 'graden', 'koud', 'rillingen', 'temp']"
43,328,43_volgende_komende_vorige_weekje,"['volgende', 'komende', 'vorige', 'weekje', 'infuus', 'begin', 'uitstellen', 'ingeleverd', 'geluk', 'erna']"
44,329,44_formulieren_formulier_toestemmingsformulier_toesturen,"['formulieren', 'formulier', 'toestemmingsformulier', 'toesturen', 'papieren', 'opsturen', 'potje', 'sturen', 'prikformulieren', 'ingevuld']"
45,182,45_pentasa_pentaza_zetpillen_recept,"['pentasa', 'pentaza', 'zetpillen', 'recept', 'granulaat', 'gram', 'korrels', 'herhaalrecept', 'metoject', 'nieuw']"
46,475,46_proberen_zsm_meld_prima,"['proberen', 'zsm', 'meld', 'prima', 'oke', 'verschijnen', 'ophalen', 'dankjewel', 'meteen', 'mee']"
47,308,47_eten_eet_voeding_gegeten,"['eten', 'eet', 'voeding', 'gegeten', 'eetlust', 'voedsel', 'probeer', 'slik', 'producten', 'maaltijden']"
48,203,48_advies_adviseren_tips_wijsheid,"['advies', 'adviseren', 'tips', 'wijsheid', 'graag', 'raad', 'aanraden', 'adviezen', 'voorstel', 'hiermee']"
49,169,49_dermatoloog_dermatologie_haaruitval_doorverwijzing,"['dermatoloog', 'dermatologie', 'haaruitval', 'doorverwijzing', 'verwijzing', 'huid', 'oogarts', 'verwijsbrief', 'kale', 'doorverwezen']"
50,278,50_wacht_wachten_afwachten_gaten,"['wacht', 'wachten', 'afwachten', 'gaten', 'lang', 'geduld', 'duurt', 'duren', 'hou', 'houd']"
51,595,51_buik_buikpijn_darmen_darm,"['buik', 'buikpijn', 'darmen', 'darm', 'pijn', 'maag', 'gevoel', 'buikkrampen', 'eten', 'dikke']"
52,177,52_endoscopie_gepland_staat_afdeling,"['endoscopie', 'gepland', 'staat', 'afdeling', 'functieafdeling', 'plaatsvinden', 'datum', 'afspraak', 'ingepland', 'onderzoek']"
53,399,53_buikpijn_buik_last_darmen,"['buikpijn', 'buik', 'last', 'darmen', 'pijn', 'maag', 'krampen', 'buikkrampen', 'flinke', 'onderbuik']"
54,224,54_apotheek_naam_meerssen_service,"['apotheek', 'naam', 'meerssen', 'service', 'margraten', 'derrein', 'genoteerd', 'kollar', 'liefs', 'gasthuis']"
55,351,55_brief_mail_post_email,"['brief', 'mail', 'post', 'email', 'bericht', 'mailtje', 'sturen', 'ontvangen', 'verzonden', 'gestuurd']"
56,228,56_onderzoek_onderzoeken_studie_bevolkingsonderzoek,"['onderzoek', 'onderzoeken', 'studie', 'bevolkingsonderzoek', 'meedoen', 'gegevens', 'mee', 'genteresseerd', 'ontlastingsonderzoek', 'toestemming']"
57,132,57_mvrgr_groet_hum_vrgr,"['mvrgr', 'groet', 'hum', 'vrgr', 'grt', 'bvd', 'beckers', 'alvast', 'dankjewel', 'bedankt']"
58,152,58_gewicht_kilo_afgevallen_weeg,"['gewicht', 'kilo', 'afgevallen', 'weeg', 'afvallen', 'gewichtsverlies', 'eet', 'verliezen', 'kilos', 'weegt']"
59,178,59_antwoord_dank_bedankt_hartelijk,"['antwoord', 'dank', 'bedankt', 'hartelijk', 'bericht', 'beste', 'reactie', 'uitleg', 'alvast', 'advies']"
60,234,60_keel_mond_neus_keelpijn,"['keel', 'mond', 'neus', 'keelpijn', 'hoesten', 'last', 'oor', 'hoest', 'tong', 'ontstoken']"
61,187,61_apotheek_recept_ontvangen_vergeten,"['apotheek', 'recept', 'ontvangen', 'vergeten', 'zojuist', 'aangekomen', 'voorraad', 'hoi', 'zeggen', 'leverbaar']"
62,400,62_doorgaan_stoppen_mee_verstandig,"['doorgaan', 'stoppen', 'mee', 'verstandig', 'hiermee', 'rekening', 'bedoeling', 'blijven', 'gebruiken', 'vraag']"
63,285,63_gebeld_gemist_helaas_gemiste,"['gebeld', 'gemist', 'helaas', 'gemiste', 'telefoontje', 'telefoon', 'oproep', 'nummer', 'sorry', 'bereikbaar']"
64,150,64_paracetamol_tramadol_helpt_pijn,"['paracetamol', 'tramadol', 'helpt', 'pijn', 'ibuprofen', 'onderdrukken', 'pijnstillers', 'gepakt', 'gebruik', 'slik']"
65,185,65_app_telefoon_code_gsm,"['app', 'telefoon', 'code', 'gsm', 'downloaden', 'ondersteund', 'scannen', 'iphone', 'competentiecentrum', 'inloggen']"
66,157,66_lab_biologicals_labformulieren_laboratorium,"['lab', 'biologicals', 'labformulieren', 'laboratorium', 'bureau', 'biological', 'labbriefjes', 'labformulier', 'formulieren', 'potje']"
67,131,67_corona_positief_coronatest_getest,"['corona', 'positief', 'coronatest', 'getest', 'negatief', 'maatregelen', 'milde', 'ivm', 'test', 'ziek']"
68,226,68_bellen_nummer_bereikbaar_bereiken,"['bellen', 'nummer', 'bereikbaar', 'bereiken', 'telefonisch', 'telefoonnummer', 'opnemen', 'contact', 'indien', 'gebeld']"
69,219,69_darmen_buikpijn_rustig_darm,"['darmen', 'buikpijn', 'rustig', 'darm', 'buik', 'rustiger', 'voel', 'gelukkig', 'last', 'dikke']"
70,144,70_ibd_ibdcoach_team_sessie,"['ibd', 'ibdcoach', 'team', 'sessie', 'periodieke', 'goede', 'ontvang', 'bericht', 'beste', 'sep']"
71,204,71_dankjewel_dank_bedankt_oke,"['dankjewel', 'dank', 'bedankt', 'oke', 'fijn', 'top', 'super', 'prima', 'alvast', 'hartelijk']"
72,219,72_keer_maal_daags_gemiddeld,"['keer', 'maal', 'daags', 'gemiddeld', 'normaal', 'soms', 'ontlasting', 'dagelijks', 'volle', 'gebruik']"
73,109,73_fijne_feestdagen_wensen_jaarwisseling,"['fijne', 'feestdagen', 'wensen', 'jaarwisseling', 'wens', 'gezond', 'alvast', 'gewenst', 'allereerst', 'prettige']"
74,117,74_weekend_fijn_alvast_gewenst,"['weekend', 'fijn', 'alvast', 'gewenst', 'prettig', 'fijne', 'bedankt', 'groetjes', 'dank', 'wens']"
