model_name,combination,min_cluster_size,n_components,n_neighbors,diversity_score,c_v_score,weighted_avg_sim,unweighted_avg_sim,document_coverage,number_of_topics
mpnet,"(10, 5, 10)",10,5,10,0.5443507588532883,0.3540491919303406,0.6798450057257223,0.72533274,0.6222913981371142,593
mpnet,"(10, 5, 20)",10,5,20,0.5714587737843552,0.3536111619364211,0.6716500048280214,0.7305719,0.6095722172231814,473
mpnet,"(10, 5, 30)",10,5,30,0.573943661971831,0.35666222221299293,0.6693038262612038,0.7329733,0.5997957148763345,426
mpnet,"(10, 5, 40)",10,5,40,0.5703517587939698,0.36268153650911455,0.6733901309928877,0.7385448,0.5773243512731341,399
mpnet,"(10, 10, 10)",10,10,10,0.5427835051546391,0.3553175881394616,0.6725967108551715,0.7297995,0.6517911427807096,582
mpnet,"(10, 10, 20)",10,10,20,0.5691983122362869,0.35873479009321535,0.6756259606953423,0.73173374,0.6105450035263503,474
mpnet,"(10, 10, 30)",10,10,30,0.5718676122931442,0.3631807372233811,0.6733041469468153,0.7354346,0.5987742892580072,423
mpnet,"(10, 10, 40)",10,10,40,0.57875,0.3581522937239111,0.6765784020500769,0.73659253,0.5746978282545782,400
mpnet,"(10, 15, 10)",10,15,10,0.5449225473321859,0.3552942143720874,0.6771199042513832,0.72838205,0.6355942508329483,581
mpnet,"(10, 15, 20)",10,15,20,0.5673553719008264,0.35889169164087137,0.6766204766998439,0.73154515,0.6040759746102775,484
mpnet,"(10, 15, 30)",10,15,30,0.5676674364896074,0.3612899828232028,0.675906195468433,0.7383209,0.5878061236897785,433
mpnet,"(10, 15, 40)",10,15,40,0.5696296296296296,0.3635984521684521,0.6764920860958545,0.7404286,0.5618084097375909,405
mpnet,"(20, 5, 10)",20,5,10,0.638487972508591,0.3546043001045928,0.6321653969856124,0.68437105,0.6805856173545076,291
mpnet,"(20, 5, 20)",20,5,20,0.6351648351648351,0.3553321385769618,0.6449871199848624,0.7046871,0.6250638391011455,273
mpnet,"(20, 5, 30)",20,5,30,0.6368852459016393,0.3626746941783117,0.638723195693907,0.70513165,0.6210024562854155,244
mpnet,"(20, 5, 40)",20,5,40,0.6446902654867257,0.3531516150037125,0.644208518447677,0.70212024,0.6049758019407087,226
mpnet,"(20, 10, 10)",20,10,10,0.6219081272084805,0.35498631331237773,0.6367235441845311,0.6927217,0.6634888980763151,283
mpnet,"(20, 10, 20)",20,10,20,0.6329365079365079,0.362393018921591,0.6289673917336238,0.70359457,0.6668936501374061,252
mpnet,"(20, 10, 30)",20,10,30,0.651931330472103,0.3617130678436473,0.6393680023039064,0.69912237,0.6358374474087405,233
mpnet,"(20, 10, 40)",20,10,40,0.6337777777777778,0.360869910512943,0.6438009084164278,0.7069533,0.6020574430312021,225
mpnet,"(20, 15, 10)",20,15,10,0.6301075268817204,0.35999322944864215,0.627695243255478,0.69396675,0.6707118363773438,279
mpnet,"(20, 15, 20)",20,15,20,0.6173913043478261,0.3641754505439076,0.6571364960054763,0.7056585,0.593472603905737,276
mpnet,"(20, 15, 30)",20,15,30,0.635655737704918,0.3620156003072846,0.6442982702670706,0.7083664,0.601935844743306,244
mpnet,"(20, 15, 40)",20,15,40,0.6495614035087719,0.3561396159679012,0.6428306466964774,0.70736676,0.6063133831075659,228
mpnet,"(30, 5, 10)",30,5,10,0.6702020202020202,0.35819847146670325,0.620663416674322,0.6564541,0.6517911427807096,198
mpnet,"(30, 5, 20)",30,5,20,0.6649717514124294,0.3657075645514893,0.628722763789103,0.6793816,0.6116393881174154,177
mpnet,"(30, 5, 30)",30,5,30,0.6461538461538462,0.37105885228088215,0.6297361078050966,0.68456054,0.6024222378948905,169
mpnet,"(30, 5, 40)",30,5,40,0.6654320987654321,0.367002977391665,0.6306826831499932,0.6835521,0.5908947202023396,162
mpnet,"(30, 10, 10)",30,10,10,0.6772222222222222,0.3642860030609771,0.6091542934441981,0.66370803,0.6587952041635253,180
