model_name,combination,min_cluster_size,n_components,n_neighbors,diversity_score,c_v_score,weighted_avg_sim,unweighted_avg_sim,document_coverage,number_of_topics,composite_score
stv1,"(30, 15, 10)",30,15,10,0.6566878980891719,0.35636291704652795,0.3761148862486521,0.46937212,0.6518884214110265,157,0.5875124282256908
stv2,"(20, 15, 10)",20,15,10,0.6333333333333333,0.3635894782751676,0.47437427123074544,0.5527908,0.6357888080935821,261,0.5911098644268898
mini,"(40, 15, 10)",40,15,10,0.69921875,0.3862405727472532,0.5426400815407084,0.59794843,0.7593569882536054,128,0.668715252057225
mpnet,"(30, 10, 10)",30,10,10,0.6772222222222222,0.3642860030609771,0.6091542934441981,0.66370803,0.6587952041635253,180,0.6367763147173101
robbert,"(30, 10, 10)",30,10,10,0.6912037037037037,0.3632394397420428,0.4955975747030925,0.5192792,0.7478294705610545,216,0.643841395828667
e5,"(40, 10, 10)",40,10,10,0.5920353982300885,0.38829476760696385,0.8631305270845151,0.8904792,0.5916486295872954,113,0.6312147338650211
