min_cluster_size,n_components,n_neighbors,diversity_score,c_v_score,npmi,doc_assignment_pct,number_of_topics,model_name,run_id,chunk_id
10,5,10,0.5836765256458255,0.3719735741235568,-0.163592808824302,0.6438032627221817,539,qwen3,run_001,0
10,5,20,0.6034324942791762,0.3777734435400098,-0.1456811001954185,0.5942293644996348,444,qwen3,run_001,0
10,5,30,0.6168881939014855,0.3828596110832898,-0.1368969426840037,0.5962746530314098,389,qwen3,run_001,0
10,5,40,0.6304225352112676,0.3903356148585523,-0.1317892409534158,0.5650109569028487,360,qwen3,run_001,0
10,5,50,0.6366322008862629,0.3893406078808279,-0.1243713471446922,0.5541027514000487,341,qwen3,run_001,0
10,7,10,0.5811997757428518,0.3738496505958006,-0.1634272438865693,0.6451180910640371,540,qwen3,run_001,0
10,7,20,0.6010339402112834,0.3760200821319052,-0.145137330784336,0.5958120282444607,450,qwen3,run_001,0
10,7,30,0.608616662341033,0.384937512826933,-0.1321752442191261,0.5889213537862187,389,qwen3,run_001,0
10,7,40,0.6285091305532843,0.387043951382219,-0.1362494854208229,0.5712685658631604,370,qwen3,run_001,0
10,7,50,0.6300082895827577,0.3837832694568351,-0.1358903716847768,0.5411249086924763,365,qwen3,run_001,0
10,10,10,0.5870859694826944,0.3714331209779739,-0.1621017407211638,0.6337959581202824,542,qwen3,run_001,1
10,10,20,0.598406747891284,0.3859608383631628,-0.1403559159922255,0.6156074993912832,433,qwen3,run_001,1
10,10,30,0.6172967374417401,0.3853419053334309,-0.1355901240777252,0.5863647431214999,390,qwen3,run_001,1
10,10,40,0.6256800870511425,0.3869331905382316,-0.1320509982782563,0.5634526418310202,372,qwen3,run_001,1
10,10,50,0.6253687315634219,0.3895942479470712,-0.1269293003308243,0.5497686876065254,343,qwen3,run_001,1
10,12,10,0.5842320565265898,0.3731489315761486,-0.1660873143586517,0.631190650109569,543,qwen3,run_001,1
10,12,20,0.6021505376344086,0.3794718870177018,-0.1473991994984095,0.5964694424153884,442,qwen3,run_001,1
10,12,30,0.6156951804188746,0.3842252527050933,-0.1368343405640998,0.5918188458728999,400,qwen3,run_001,1
10,12,40,0.6162918266593527,0.3834236503858577,-0.1318662449409623,0.5614073532992452,369,qwen3,run_001,1
10,12,50,0.6256776034236805,0.3854143852533782,-0.132660473218357,0.552154857560263,353,qwen3,run_001,1
10,15,10,0.5798849508257562,0.3727347643092122,-0.1631264603265923,0.629973216459703,545,qwen3,run_001,2
10,15,20,0.6004140786749482,0.3804701089303281,-0.1441491524953757,0.5922084246408571,441,qwen3,run_001,2
10,15,30,0.6186351706036746,0.3845902507730903,-0.1315527945225728,0.5765522279035793,385,qwen3,run_001,2
10,15,40,0.6287047200878156,0.3872890630203398,-0.1359480950994239,0.5682249817384952,367,qwen3,run_001,2
10,15,50,0.6329220415030847,0.3846625106541921,-0.1344369685319768,0.5381300219138057,360,qwen3,run_001,2
15,5,10,0.6178666666666667,0.3891017426069523,-0.1401587832143324,0.6376430484538592,377,qwen3,run_001,2
15,5,20,0.6319444444444444,0.3984702274197806,-0.118992820670123,0.5935719503287071,318,qwen3,run_001,2
15,5,30,0.641837800208841,0.4011651864562087,-0.1101548458453432,0.5933041149257365,288,qwen3,run_001,2
15,5,40,0.6382747372236317,0.4054595985504459,-0.1053378243310775,0.5617969320672024,276,qwen3,run_001,2
15,5,50,0.6538461538461539,0.4055946881170283,-0.1050956645157999,0.5705381056732408,258,qwen3,run_001,2
15,7,10,0.6202100482543287,0.399003589210064,-0.1299233041609158,0.6446798149500852,354,qwen3,run_001,3
15,7,20,0.6301710730948679,0.397375001659713,-0.1163541608074189,0.5949111273435598,323,qwen3,run_001,3
15,7,30,0.6370070778564206,0.4045877804001477,-0.1108695718395223,0.5705624543462381,298,qwen3,run_001,3
15,7,40,0.6387860843819393,0.403720085155247,-0.1055280904013187,0.580009739469199,271,qwen3,run_001,3
