min_cluster_size,n_components,n_neighbors,diversity_score,c_v_score,document_coverage,number_of_topics,model_name
25,7,10,0.6695957820738138,0.3618807876552732,0.6760378413871933,230,mpnet
25,5,10,0.657030223390276,0.3542366533870856,0.6845497215399207,229,mpnet
20,7,10,0.648471615720524,0.358486924986253,0.6881003915464871,280,mpnet
40,15,10,0.6414715719063545,0.3584284804074595,0.626450059583161,150,qwen3
25,10,10,0.637668918918919,0.3546502089567316,0.6305844013716286,238,qwen3
30,5,10,0.637008991954567,0.3635018103932981,0.6270580510226416,212,qwen3
30,10,10,0.6941066417212348,0.3650556971681407,0.7478294705610545,216,robbert
25,10,10,0.690456081081081,0.3672071757184299,0.734477978550062,240,robbert
25,15,10,0.6840764331210191,0.3653670030837042,0.7358885186896569,239,robbert
