min_cluster_size,n_components,n_neighbors,diversity_score,c_v_score,document_coverage,number_of_topics,model_name
15,15,10,0.6180766051253789,0.3590154462917087,0.6612028502638683,376,mpnet
15,15,20,0.6174398120963006,0.3619422363786112,0.587976361292833,351,mpnet
15,15,30,0.6114054222499221,0.3579418209928327,0.5669155378292273,332,mpnet
15,15,40,0.6350072780203785,0.3605220616910705,0.5918188671903499,285,mpnet
20,5,10,0.645949720670391,0.3553708268854014,0.6805856173545076,291,mpnet
20,5,20,0.6484667165295438,0.3568807496824586,0.6250638391011455,273,mpnet
20,5,30,0.6468120805369127,0.3660380764395464,0.6210024562854155,244,mpnet
20,5,40,0.651685393258427,0.3564409626208875,0.6049758019407087,226,mpnet
20,7,10,0.648471615720524,0.358486924986253,0.6881003915464871,280,mpnet
20,7,20,0.6361875242154204,0.3619777333050782,0.6359590456966366,264,mpnet
20,7,30,0.6463104325699746,0.3601315333586852,0.6337945961720859,241,mpnet
20,7,40,0.6442013129102845,0.358089853232469,0.6023492789221527,234,mpnet
20,10,10,0.6313330937836866,0.3569990719786479,0.6634888980763151,283,mpnet
20,10,20,0.6480403570042685,0.3635836292332018,0.64084729687006,264,mpnet
20,10,30,0.6554621848739496,0.3616279560571843,0.6102774872929789,243,mpnet
20,10,40,0.647005444646098,0.3634013027919928,0.6020574430312021,225,mpnet
20,15,10,0.6405563689604685,0.3634931774148097,0.6707118363773438,279,mpnet
20,15,20,0.6330882352941176,0.3660901867720933,0.596439602130402,278,mpnet
20,15,30,0.6471077819392426,0.3676179483262718,0.6081130377684282,245,mpnet
20,15,40,0.6600181323662738,0.3593025658628743,0.6050001215982879,226,mpnet
25,5,10,0.657030223390276,0.3542366533870856,0.6845497215399207,229,mpnet
25,5,20,0.6755836575875487,0.359150075266142,0.620613341764148,209,mpnet
25,5,30,0.6682267290691628,0.371444403967453,0.605121719886184,196,mpnet
25,5,40,0.6690371991247265,0.3641347006626068,0.5918188671903499,186,mpnet
25,7,10,0.6695957820738138,0.3618807876552732,0.6760378413871933,230,mpnet
25,7,20,0.676923076923077,0.3627760327067819,0.6325299739779664,212,mpnet
25,7,30,0.6652741514360313,0.3653289607449445,0.6038327780344853,195,mpnet
25,7,40,0.6825396825396826,0.3637061006899241,0.5951020209635448,179,mpnet
25,10,10,0.6613113330438558,0.3588830239135949,0.6450789172888446,233,mpnet
25,10,20,0.6701132447070408,0.3697086105573567,0.6246504049222987,207,mpnet
25,10,30,0.6666666666666666,0.3682611813720721,0.6096694958534984,193,mpnet
25,10,40,0.6652519893899205,0.3703918189876568,0.5852525596439602,191,mpnet
25,15,10,0.6646567717996289,0.3634476941940329,0.6645346433522216,219,mpnet
25,15,20,0.6531264262893656,0.3740632932431303,0.5834042656679393,223,mpnet
25,15,30,0.6660029865604778,0.3673899243455911,0.6078455215350568,205,mpnet
25,15,40,0.6801120448179272,0.3678760924823706,0.5914783919842409,181,mpnet
30,5,10,0.6673417721518987,0.3604230223408346,0.6517911427807096,198,mpnet
30,5,20,0.6735632183908046,0.3678727546093534,0.6116393881174154,177,mpnet
30,5,30,0.660217654171705,0.3744078964321412,0.6024222378948905,169,mpnet
30,5,40,0.6754716981132075,0.3712768234431806,0.5908947202023396,162,mpnet
30,7,10,0.6750261233019854,0.3663053526003136,0.6611055716335514,194,mpnet
30,7,20,0.6689576174112256,0.3736755064023418,0.6057297113256646,178,mpnet
30,7,30,0.6656590084643289,0.3796652371176374,0.5985554123397943,169,mpnet
30,7,40,0.6698534098151689,0.3747934446072595,0.5944940295240643,160,mpnet
